GEO/TIME,BE,DE,GR,ES,FR,IT,NL,AT,PL,RO,SE,TR
2000-01,,,,,,,,,,,,
2000-04,-0.0258064516,-0.016959799,-0.0018939394,-0.0355658199,-0.0328565906,-0.0262202501,-0.035483871,-0.1304347826,0.0249266862,0.0269953052,-0.0405904059,
2000-07,0.0066225166,-0.0121405751,-0.0151802657,0.0019157088,-0.0287769784,-0.0223695112,-0.0468227425,0.0285714286,-0.0139484979,0.0228571429,-0.0538461538,
2000-10,-0.0493421053,-0.0132600259,-0.0558766859,-0.026290631,-0.0218106996,-0.0330508475,-0.049122807,-0.0069444444,0.0351831701,-0.0089385475,-0.0528455285,
2001-01,-0.0865051903,-0.0147492625,-0.0183673469,-0.0648011782,-0.0180900294,-0.0245398773,-0.0516605166,-0.027972028,0.0574632095,-0.0473506201,0.1545064378,
2001-04,0.0681818182,0.00332668,0.0166320166,-0.0146981627,-0.0141388175,-0.0283018868,-0.0311284047,0.1007194245,0.0530152419,-0.0319526627,-0.0223048327,
2001-07,-0.024822695,0.0198938992,-0.0081799591,0.0117208311,-0.0069534985,-0.0060101711,-0.0040160643,0.0130718954,0.0066079295,0,0.0266159696,
2001-10,0.1636363636,0.0230819246,0.0226804124,0.0200105319,-0.0026258206,-0.0172093023,0.0282258065,0.0580645161,0.0234448265,0.0366748166,0.0148148148,
2002-01,0.00625,0.0200190658,-0.0100806452,0.0856995354,-0.0162351909,-0.0340747752,0.0549019608,0.0426829268,0.0180207697,0.0778301887,-0.0145985401,
2002-04,-0.0124223602,0.0261682243,-0.0244399185,0.0114122682,0.0017841213,0.0352768251,0.0743494424,-0.0643274854,0.0252025203,-0.0032822757,-0.0111111111,
2002-07,0.0408805031,0.0406800243,-0.0020876827,0.0488951575,0.017809439,-0.0227165168,0.0761245675,0.04375,0.0225343869,-0.0395170143,0.0486891386,
2002-10,0.0634441088,0.0443407235,-0.0209205021,-0.0022411475,0.0126859143,-0.017433414,0.0803858521,0.0179640719,-0.0143102461,-0.1165714286,0.0214285714,
2003-01,0.0142045455,0.0446927374,-0.0213675214,0.0215633423,-0.0151187905,0.0389354362,0.0625,0.0294117647,-0.0418118467,-0.0129366106,0.0174825175,
2003-04,0,0.0229946524,0,-0.0153913808,0.0149122807,-0.0208728653,0.0840336134,0.0742857143,-0.0051515152,0.002621232,0.0137457045,
2003-07,0.0056022409,0.0028750653,0,0.0205448861,0.0103716508,-0.0135658915,0.0542635659,0,0.0173621687,-0.014379085,0.0406779661,
2003-10,0.0473537604,0.0002606203,0.0240174672,-0.0056892779,0.0346449957,-0.0211198428,0.0539215686,0.0425531915,-0.0068862275,0.0676392573,0.0716612378,
2004-01,0.0239361702,0.0289213132,0.1407249467,-0.0074823944,0.0099214551,-0.0060210738,0.0418604651,0.1071428571,0.0084413627,0.0198757764,0.0425531915,
2004-04,-0.0935064935,0.0265890099,-0.0317757009,0.0053215078,-0.0020466639,-0.0065623423,0.0602678571,-0.0414746544,-0.0337817638,-0.0462850183,0.0058309038,
